'10021335437051', '10021335437051', '2999.00', 'Java', 9999, '佳沃（JAVA） 公路自行车鱼雷3代碟刹22变速弯把男女碳纤维前叉男女成人赛车 3代黑色18速青春 18速 47#建议162-173CM 700C', 1, 'https://img14.360buyimg.com/n7/jfs/t1/184599/40/29087/106340/64bce61cF877a781c/b8a43596cf2c052b.jpg'
'10025262700845', '10025262700845', '3299.00', 'Java', 9999, 'JAVA佳沃鱼雷6top24款公路车自行车骑行运动健身训练成人学生7120r5 亮光香槟 S', 1, 'https://img14.360buyimg.com/n7/jfs/t1/126838/14/41031/59547/659f7977F9deea2a3/abcfe6e5b6adf6aa.jpg'
'10025314763812', '10025314763812', '2299.00', 'Java', 9999, 'JAVA2024新款VELOCE维洛克3公路车桶轴油碟蓝图16速油碟铝合金内走线 钛黑 16速 L码', 1, 'https://img10.360buyimg.com/n7/jfs/t1/114491/25/44345/102202/65b716caF2bd43951/604d2235ef09d9d8.jpg'
'10025351482843', '10025351482843', '2299.00', 'Java', 9999, '佳沃JAVA公路自行车铝合金全油压碟刹变速桶轴男女弯把赛车佳沃VELOCE 消光黑灰 510：172-182 CM', 1, 'https://img10.360buyimg.com/n7/jfs/t1/101352/26/47075/62183/65daf5f6F06acccc0/3950e13ecaf1e1df.jpg'
'10025424256179', '10025424256179', '3999.00', 'Java', 9999, '佳沃JAVA/佳沃鱼雷6-2024气动破风公路车24速油压碟刹SILURO6-TOP 亮光白 XS【建议净高158-166cm】', 1, 'https://img12.360buyimg.com/n7/jfs/t1/136921/14/38034/98967/65ec79bcF51d99ed9/36b147e7d985b6f0.jpg'
'10025459035857', '10025459035857', '3999.00', 'Java', 9999, '佳沃java鱼雷6top桶轴公路车鱼雷6油压碟刹24变速竞赛自行赛车 亮光黑 亮光白L', 1, 'https://img10.360buyimg.com/n7/jfs/t1/223943/12/29572/69799/65f5b860Fac0976ab/5267b79d1dca0a40.jpg'
'10058164', '10058164', '74.50', 'Java', 9999, 'Java编程思想 第4版 团购50册以上优惠咨询：（010）89110538', 1, 'https://img14.360buyimg.com/n7/jfs/t2191/111/699154754/198998/32d7bfe0/5624b582Nbc01af5b.jpg'
'10167771016', '10167771016', '35.80', 'Java', 9999, '【清华】Java从入门到精通(第7七版) java语言程序设计电脑编程基础计算机软件开发教程JAVA编程入门零基础自学书籍javascript Java入门经典', 1, 'https://img14.360buyimg.com/n7/jfs/t1/176588/14/42623/190268/65defb2cFde50bf31/cef8c393c8e3a58b.jpg'
'12185501', '12185501', '38.50', 'Java', 9999, '【2024全新升级】零基础学Java（升级版）（全彩印刷） 团购50册以上优惠咨询：（010）89110538', 1, 'https://img11.360buyimg.com/n7/jfs/t1/151837/7/35521/68870/66010a58F30cfbf3b/ae60570e9e6ecda1.jpg'
'13446154087', '13446154087', '26.82', 'Java', 9999, '零基础Java从入门到精通编程自学入门 配视频教学java语言程序设计电脑编程思想软件开发教程R 零基础Java从入门到精通', 1, 'https://img12.360buyimg.com/n7/jfs/t1/193411/34/25876/185753/62a30852Edb245388/e331452c8d6468a1.jpg'
'13880892', '13880892', '149.00', 'Java', 9999, 'Java核心技术 第12版 套装共2册 团购50册以上优惠咨询：（010）89110538', 1, 'https://img12.360buyimg.com/n7/jfs/t1/87954/34/36453/108712/6444f6aeFc8555531/31e6ec5958221f7b.jpg'
'14067396', '14067396', '44.50', 'Java', 9999, 'Java从入门到精通（第7版）（软件开发视频大讲堂） 团购50册以上优惠咨询：（010）89110538', 1, 'https://img11.360buyimg.com/n7/jfs/t1/92880/40/37274/91485/64b0f246F28539098/16f93df907ef0d29.jpg'
'14419018', '14419018', '49.90', 'Java', 9999, '【2024年全新译本】Effective Java中文版(原书第3版)(异步图书出品) 团购50册以上优惠咨询：（010）89110538', 1, 'https://img13.360buyimg.com/n7/jfs/t1/235853/28/15150/73346/661497c6Fbad2a896/ededdb2b8a6b4c89.jpg'
